Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
71ea7656-079f-4aa5-8ea4-092b5d0b9434,05a63737-8150-4a1a-86b8-25cab932f3e0,Clothing,18.07,2024-10-08
0986971b-837c-4486-bee2-a95f16feb934,52bfdbe5-5524-4c87-aae1-3695ed60c3a9,Clothing,239.86,2024-01-01
215ea799-0f6e-478b-882a-c2c82e99441c,f3a83d73-8a70-4a30-9865-81f02d9c7120,Home & Kitchen,126.12,2024-02-27
eb59780f-78f5-44e1-ac14-d1ac4b0c1285,b5ec6be8-23b8-4070-8da9-7d6d160f98e1,Sports,243.94,2024-12-29
95ab8a9a-4751-4403-9b45-4b1d8b4bff06,61fc66d5-0149-4777-aaee-a1758796798b,Electronics,139.01,2024-08-03
6ecc41ff-c386-4027-9a08-96c196497d50,2f89966f-c029-4bf8-93a9-7ae18adafb9d,Home & Kitchen,260.52,2024-04-17
38ec0d83-a72d-4f74-979e-eef4551fb7f2,d30edf8c-c28a-4f5e-b035-45b5f39fd176,Home & Kitchen,204.18,2024-05-07
5adc3cb9-0c8b-44d1-86ff-be6abb3f9a5c,6c4325fb-3943-4c4c-b801-c0d885aadf3e,Home & Kitchen,132.31,2024-07-08
00b7b277-5e02-4661-8266-86ba11254529,2f89966f-c029-4bf8-93a9-7ae18adafb9d,Home & Kitchen,312.67,2024-12-17
f40ae7fe-a790-4dce-8748-86fe184daf61,25492421-1b96-4fa1-8a36-0bb879ac1cb4,Home & Kitchen,351.01,2024-10-24
fbfe9178-c3ba-4a46-a2f4-11d6c9304fab,bc71dd08-1b9b-41ec-9ff4-998bf09d83c8,Home & Kitchen,490.34,2024-08-23
2a5c55e0-111a-4521-b9d8-69153bc08289,81dd7bc9-a1ac-430d-a8ca-61bd69bad1d6,Home & Kitchen,474.71,2024-08-03
b85195bd-f521-4b44-8365-f87ae5396204,da2505bc-ae08-4f55-9661-da705ac96a3a,Clothing,339.09,2024-04-16
8b82ee17-cc12-40d0-8fd3-414d14c990cb,6be16d0a-ff1c-4add-a609-8210882999a6,Home & Kitchen,494.71,2024-11-01
9661e89c-4434-4e90-b265-79b4d5f35ba5,2f89966f-c029-4bf8-93a9-7ae18adafb9d,Books,198.34,2024-07-28
5afa4ffc-ba0e-481c-9556-2e658e79e832,a8ef23a0-e368-48d5-9135-703249494dbc,Clothing,81.35,2024-10-15
a1eb80b4-38b2-478a-8a32-97ea9fcf8260,6be16d0a-ff1c-4add-a609-8210882999a6,Sports,176.0,2024-01-29
0d556a05-ef61-48a9-90e4-2a3bea657ae5,05a63737-8150-4a1a-86b8-25cab932f3e0,Books,28.2,2024-04-16
d935b35c-b50f-47d0-ac8a-5f8076070590,d30edf8c-c28a-4f5e-b035-45b5f39fd176,Electronics,308.63,2024-01-29
7b7bd05e-146a-4fb6-bf6a-a1087bef4048,90e61ee8-ab18-43e8-9b53-ff43d24f71cb,Books,401.43,2024-10-04
d4af8c34-cd5e-4dcd-bd3a-025db06a0176,3c993fca-67e5-4099-819c-59b1378e50fa,Clothing,354.96,2024-01-23
f2737968-d250-49a1-8e18-7df9587af6c4,7f9066ba-de0f-4b28-912e-0b26177c3ade,Sports,389.89,2024-02-18
2e297047-0f1a-4bdb-89af-02543485bc15,8efb4957-f3d2-4ebd-9179-d2a588d90812,Electronics,211.73,2024-12-06
1a201e75-a185-4a34-a789-2b92d8c5eb0d,3c993fca-67e5-4099-819c-59b1378e50fa,Home & Kitchen,415.57,2024-02-07
63da8708-d108-459c-a699-22aafcac28d9,29edb895-1906-41d0-9578-bee715cad467,Electronics,215.72,2024-01-12
